Global Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
188001,-0.1699
188002,-0.5746
188003,-0.7485
188004,-0.3308
188005,-0.2100
188006,-0.3033
188007,-0.3393
188008,-0.3189
188009,-0.3792
188010,-0.6191
188011,-0.9602
188012,-0.5707
188101,-0.4276
188102,-0.5085
188103,-0.2843
188104,-0.1350
188105,-0.0431
188106,-0.5365
188107,-0.3448
188108,-0.1724
188109,-0.5652
188110,-0.7465
188111,-0.9226
188112,-0.3445
188201,0.0155
188202,-0.2174
188203,-0.0043
188204,-0.6865
188205,-0.5033
188206,-0.5398
188207,-0.5317
188208,-0.0534
188209,-0.1573
188210,-0.8311
188211,-0.4263
188212,-0.6659
188301,-1.2561
188302,-1.3919
188303,-0.5420
188304,-0.6146
188305,-0.4872
188306,-0.0700
188307,-0.3491
188308,-0.2929
188309,-0.4847
188310,-0.5754
188311,-0.7146
188312,-0.2262
188401,-0.4208
188402,-0.7225
188403,-0.8846
188404,-0.7258
188405,-0.5001
188406,-0.4556
188407,-0.6818
188408,-0.6894
188409,-0.6304
188410,-0.4428
188411,-0.6779
188412,-0.3000
188501,-1.3396
188502,-0.8037
188503,-0.3441
188504,-0.5956
188505,-0.6031
188506,-0.6238
188507,-0.5385
188508,-0.6317
188509,-0.3891
188510,-0.3313
188511,-0.2307
188512,0.2532
188601,-0.4677
188602,-1.0168
188603,-0.8520
188604,-0.3860
188605,-0.4252
188606,-0.5634
188607,-0.2421
188608,-0.3137
188609,-0.3581
188610,-0.6206
188611,-0.6267
188612,-0.0541
188701,-1.0581
188702,-0.9017
188703,-0.2887
188704,-0.3385
188705,-0.2101
188706,-0.4595
188707,-0.4322
188708,-0.6664
188709,-0.1699
188710,-0.6374
188711,-0.1478
188712,-0.2578
188801,-0.9941
188802,-0.8379
188803,-0.7713
188804,-0.2427
188805,-0.4515
188806,-0.3185
188807,-0.2554
188808,-0.5089
188809,-0.2705
188810,-0.2328
188811,-0.4612
188812,-0.2172
188901,-0.7634
188902,-0.1439
188903,0.1515
188904,0.1949
188905,-0.2329
188906,-0.1891
188907,-0.3232
188908,-0.2135
188909,-0.4055
188910,-0.4547
188911,-0.8925
188912,-0.4180
189001,-0.8261
189002,-0.8744
189003,-0.5449
189004,-0.2604
189005,-0.6888
189006,-0.3482
189007,-0.1867
189008,-0.3447
189009,-0.3410
189010,-0.2341
189011,-0.7043
189012,-0.3929
189101,-0.8404
189102,-1.3766
189103,-0.4327
189104,-0.5939
189105,-0.3752
189106,-0.5254
189107,-0.4575
189108,-0.4305
189109,-0.2032
189110,-0.6142
189111,-0.9020
189112,0.1309
189201,-0.6853
189202,-0.3405
189203,-0.8153
189204,-0.6733
189205,-0.4911
189206,-0.2867
189207,-0.3343
189208,-0.2940
189209,-0.1104
189210,-0.1272
189211,-1.0384
189212,-0.9093
189301,-2.0039
189302,-1.6476
189303,-0.2236
189304,-0.4370
189305,-0.6008
189306,-0.3005
189307,-0.1784
189308,-0.4229
189309,-0.2710
189310,-0.2342
189311,-0.0910
189312,-0.2436
189401,-0.8132
